"Date","Time","Open","High","Low","Close","Up","Down"
10/08/2020,09:11,3440.27,3440.36,3439.50,3439.50,1568,2566
10/08/2020,09:12,3439.50,3439.91,3439.50,3439.91,1724,1049
10/08/2020,09:13,3439.92,3440.22,3439.48,3439.48,1791,3031
10/08/2020,09:14,3439.50,3439.69,3439.37,3439.54,1893,1483
10/08/2020,09:15,3439.49,3440.56,3439.49,3440.56,2583,1139
10/08/2020,09:16,3440.52,3440.66,3439.80,3439.80,1797,1702
10/08/2020,09:17,3439.65,3440.08,3439.63,3439.79,1444,1795
10/08/2020,09:18,3439.76,3439.76,3439.16,3439.65,1392,2514
10/08/2020,09:19,3439.76,3440.82,3439.76,3440.39,1951,1377
10/08/2020,09:20,3440.37,3440.37,3439.86,3440.14,932,1397
10/08/2020,09:21,3440.21,3440.30,3439.20,3439.51,1130,1665
10/08/2020,09:22,3439.52,3439.71,3439.27,3439.34,974,1222
10/08/2020,09:23,3439.38,3440.23,3439.37,3440.23,2135,1489
10/08/2020,09:24,3440.24,3440.59,3440.16,3440.57,1858,1544
10/08/2020,09:25,3440.53,3441.94,3440.50,3441.94,1693,1292
10/08/2020,09:26,3441.89,3442.05,3441.63,3441.65,1716,1874
10/08/2020,09:27,3441.62,3442.39,3441.51,3442.33,1748,1789
10/08/2020,09:28,3442.34,3442.48,3441.98,3442.37,2010,1344
10/08/2020,09:29,3442.40,3442.44,3441.73,3441.90,1348,1528
10/08/2020,09:30,3441.91,3441.91,3441.54,3441.82,1181,1727
10/08/2020,09:31,3441.81,3442.26,3441.78,3442.12,1938,1564
10/08/2020,09:32,3442.09,3442.69,3442.09,3442.59,1243,1162
10/08/2020,09:33,3442.58,3443.20,3442.42,3443.20,1708,978
10/08/2020,09:34,3443.25,3443.25,3442.90,3442.91,1086,1335
10/08/2020,09:35,3442.89,3442.91,3442.49,3442.91,1299,1143
10/08/2020,09:36,3442.91,3443.00,3442.73,3442.73,1934,1818
10/08/2020,09:37,3442.72,3442.95,3442.21,3442.95,1264,1960
10/08/2020,09:38,3442.85,3443.02,3442.69,3442.79,1310,1184
10/08/2020,09:39,3442.79,3442.97,3442.73,3442.93,1235,1424
10/08/2020,09:40,3442.94,3443.26,3442.91,3443.24,1392,1277
10/08/2020,09:41,3443.24,3443.42,3442.80,3442.80,1604,2429
10/08/2020,09:42,3442.73,3443.14,3442.63,3443.12,2017,1144
10/08/2020,09:43,3443.13,3443.41,3442.62,3442.62,1029,2051
10/08/2020,09:44,3442.64,3443.11,3442.64,3443.08,1516,753
10/08/2020,09:45,3443.08,3443.26,3441.53,3441.74,1553,2489
10/08/2020,09:46,3441.75,3442.70,3441.61,3441.86,1452,1517
10/08/2020,09:47,3441.86,3443.64,3441.86,3443.38,2721,653
10/08/2020,09:48,3443.35,3443.35,3442.75,3443.20,1571,1855
10/08/2020,09:49,3443.21,3443.47,3442.97,3443.00,860,1364
10/08/2020,09:50,3442.96,3442.96,3442.58,3442.59,991,1262
10/08/2020,09:51,3442.68,3443.06,3442.58,3442.89,1554,1006
10/08/2020,09:52,3442.88,3442.88,3442.44,3442.61,965,1120
10/08/2020,09:53,3442.59,3442.85,3442.56,3442.56,1020,1249
10/08/2020,09:54,3442.58,3442.70,3442.21,3442.21,1204,1558
10/08/2020,09:55,3442.20,3442.20,3441.94,3442.12,912,1525
10/08/2020,09:56,3442.12,3442.67,3441.96,3442.48,1118,1199
10/08/2020,09:57,3442.52,3442.52,3440.30,3440.30,804,2296
10/08/2020,09:58,3440.27,3440.71,3439.99,3440.47,1320,1390
10/08/2020,09:59,3440.49,3441.33,3440.49,3441.19,1589,743
10/08/2020,10:00,3441.20,3442.57,3441.20,3442.15,1030,2272
10/08/2020,10:01,3442.24,3442.66,3442.24,3442.43,930,1192
10/08/2020,10:02,3442.45,3442.54,3442.03,3442.26,888,1676
10/08/2020,10:03,3442.27,3442.27,3441.66,3441.69,648,1429
10/08/2020,10:04,3441.68,3442.40,3441.68,3442.08,1756,1057
10/08/2020,10:05,3442.08,3442.20,3441.26,3441.65,1087,1634
10/08/2020,10:06,3441.64,3441.78,3441.22,3441.78,1426,1083
10/08/2020,10:07,3441.78,3441.92,3441.02,3441.02,1216,1429
10/08/2020,10:08,3441.04,3441.08,3440.71,3440.80,937,1096
10/08/2020,10:09,3440.87,3441.13,3440.62,3441.13,1250,791
10/08/2020,10:10,3441.17,3441.79,3441.17,3441.37,1566,1004
10/08/2020,10:11,3441.36,3441.65,3441.00,3441.32,1154,1387
10/08/2020,10:12,3441.32,3441.33,3440.58,3440.73,918,1532
10/08/2020,10:13,3440.72,3440.72,3440.18,3440.22,1073,1667
10/08/2020,10:14,3440.21,3440.32,3439.99,3440.19,1168,1577
10/08/2020,10:15,3440.20,3441.07,3440.13,3441.04,1358,1106
10/08/2020,10:16,3441.06,3441.13,3440.76,3441.01,1114,1594
10/08/2020,10:17,3441.01,3441.01,3440.10,3440.10,759,1564
10/08/2020,10:18,3440.10,3440.12,3439.56,3439.74,954,1968
10/08/2020,10:19,3439.72,3439.75,3439.37,3439.61,1208,1208
10/08/2020,10:20,3439.57,3439.92,3439.34,3439.40,1057,1642
10/08/2020,10:21,3439.39,3439.68,3439.25,3439.65,1687,1120
10/08/2020,10:22,3439.64,3440.03,3439.64,3439.98,962,1051
10/08/2020,10:23,3439.98,3440.19,3439.44,3439.50,1064,2239
10/08/2020,10:24,3439.49,3439.66,3439.21,3439.25,881,1001
10/08/2020,10:25,3439.22,3439.22,3437.76,3437.76,675,2060
10/08/2020,10:26,3437.77,3438.37,3437.72,3437.83,1010,1647
10/08/2020,10:27,3437.83,3438.58,3437.83,3438.33,1067,1877
10/08/2020,10:28,3438.34,3438.96,3438.04,3438.67,1268,1193
10/08/2020,10:29,3438.68,3439.63,3438.56,3439.54,1813,959
10/08/2020,10:30,3439.53,3439.53,3439.17,3439.35,1264,1248
10/08/2020,10:31,3439.36,3439.63,3439.09,3439.53,986,1474
10/08/2020,10:32,3439.54,3439.82,3439.52,3439.66,1367,1167
10/08/2020,10:33,3439.69,3440.41,3439.69,3440.41,2433,1014
10/08/2020,10:34,3440.43,3440.78,3440.43,3440.48,1443,1336
10/08/2020,10:35,3440.48,3440.48,3439.02,3439.10,1118,2064
10/08/2020,10:36,3439.07,3439.72,3438.93,3439.67,1662,945
10/08/2020,10:37,3439.74,3440.09,3439.74,3439.89,1316,1142
10/08/2020,10:38,3439.86,3440.19,3439.71,3440.14,1575,1082
10/08/2020,10:39,3440.18,3440.21,3439.47,3439.94,1123,1578
10/08/2020,10:40,3439.94,3440.73,3439.94,3440.31,2495,1761
10/08/2020,10:41,3440.33,3440.56,3440.05,3440.26,1496,1918
10/08/2020,10:42,3440.26,3440.26,3439.80,3440.05,1459,1542
10/08/2020,10:43,3440.01,3441.28,3440.00,3441.10,2344,1001
10/08/2020,10:44,3441.06,3441.06,3440.12,3440.12,994,1496
10/08/2020,10:45,3440.14,3441.15,3439.59,3441.12,2161,1133
10/08/2020,10:46,3441.08,3441.08,3440.19,3440.45,1116,1515
10/08/2020,10:47,3440.47,3440.50,3440.15,3440.21,1047,1577
10/08/2020,10:48,3440.21,3440.30,3440.12,3440.15,1378,1379
10/08/2020,10:49,3440.08,3440.08,3438.86,3439.70,1137,2852
10/08/2020,10:50,3439.71,3440.36,3439.67,3440.36,1747,778
10/08/2020,10:51,3440.37,3440.53,3440.10,3440.53,1172,950
10/08/2020,10:52,3440.55,3440.79,3440.54,3440.76,1262,996
10/08/2020,10:53,3440.78,3441.25,3440.75,3441.24,1105,892
10/08/2020,10:54,3441.26,3441.45,3441.26,3441.32,1268,898
10/08/2020,10:55,3441.27,3441.38,3441.09,3441.16,2283,1815
10/08/2020,10:56,3441.06,3441.06,3440.18,3440.27,1206,2116
10/08/2020,10:57,3440.28,3440.57,3439.70,3439.82,1300,1176
10/08/2020,10:58,3439.80,3439.80,3439.27,3439.27,1099,1615
10/08/2020,10:59,3439.17,3439.17,3438.34,3438.93,1735,1199
10/08/2020,11:00,3438.91,3438.96,3438.06,3438.06,1102,2044
10/08/2020,11:01,3438.07,3438.37,3437.48,3438.17,2432,1733
10/08/2020,11:02,3438.18,3439.07,3437.77,3437.77,1989,2267
10/08/2020,11:03,3437.67,3438.24,3437.47,3438.06,1576,1017
10/08/2020,11:04,3437.97,3437.97,3437.37,3437.85,1123,1518
10/08/2020,11:05,3437.88,3438.22,3437.78,3438.21,1124,1739
10/08/2020,11:06,3438.23,3439.24,3438.05,3439.24,1981,905
10/08/2020,11:07,3439.28,3439.94,3439.20,3439.94,1688,1597
10/08/2020,11:08,3440.01,3441.21,3439.94,3441.21,2299,1639
10/08/2020,11:09,3441.24,3442.52,3441.15,3442.46,3160,919
10/08/2020,11:10,3442.47,3443.03,3442.39,3442.96,1785,1371
10/08/2020,11:11,3442.99,3443.16,3442.56,3442.67,1363,1557
10/08/2020,11:12,3442.67,3442.70,3442.50,3442.68,1629,1529
10/08/2020,11:13,3442.73,3442.93,3442.46,3442.91,1431,1348
10/08/2020,11:14,3442.92,3442.95,3442.22,3442.33,986,1797
10/08/2020,11:15,3442.32,3442.33,3441.84,3442.01,805,1309
10/08/2020,11:16,3441.97,3442.59,3441.96,3442.59,1624,1098
10/08/2020,11:17,3442.59,3442.91,3442.39,3442.91,1455,921
10/08/2020,11:18,3442.97,3443.42,3442.97,3443.25,1460,1326
10/08/2020,11:19,3443.21,3443.23,3442.83,3443.23,1306,1320
10/08/2020,11:20,3443.24,3443.25,3442.67,3442.73,1103,1447
10/08/2020,11:21,3442.74,3442.96,3442.35,3442.78,1255,1315
10/08/2020,11:22,3442.78,3444.08,3442.72,3444.08,3461,674
10/08/2020,11:23,3444.07,3444.15,3443.76,3443.76,1588,2514
10/08/2020,11:24,3443.74,3443.92,3443.66,3443.67,877,1409
