purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
2012-02-10,2012-06-11,1351.20996,1335.52002,12248.0,381935879.17,9.45871,7.959919999999999,115850.28,11585028.01,-1951568.27
2012-06-11,2012-10-10,1335.52002,1442.52002,7452.0,400240572.55,15.29416,0.2514,113972.08,11397208.03,-11323836.83
2012-10-10,2013-02-11,1442.52002,1518.31006,22532.0,411280966.44,5.3022800000000005,1.17383,119470.97,11947097.3,-9421694.51
2013-02-11,2013-06-10,1518.31006,1648.68994,13271.0,435004730.99,9.25003,1.38032,122757.15,12275714.81,-10566649.29
2013-06-10,2013-10-10,1648.68994,1692.5600600000002,9301.0,435436352.87,13.959660000000001,2.4346200000000002,129838.8,12983879.77,-10849278.5
2013-10-10,2014-02-10,1692.5600600000002,1799.9399399999998,12498.0,451516557.98,10.39894,1.89083,129965.95,12996595.21,-10763401.83
2014-02-10,2014-06-10,1799.9399399999998,1950.85999,9226.0,474691883.61,14.60643,0.04286,134758.92,13475892.32,-13571108.6
2014-06-10,2014-10-10,1950.85999,1936.97998,49738.0,484243793.05,2.84881,5.39122,141694.11,14169411.18,12503744.75
2014-10-10,2015-02-10,1936.97998,2070.86011,11922.0,508779023.89,12.11717,5.7243,144460.9,14446090.07,-7766040.51
2015-02-10,2015-05-11,2070.86011,2117.6899399999998,18248.0,504684425.35,8.32138,0.04665,151848.54,15184854.22,-15251575.84
2015-05-11,2015-09-10,2117.6899399999998,1965.2900399999999,13412.0,539812177.56,11.23175,63.12302,150640.23,15064023.1,69445931.09
2015-09-10,2015-12-10,1965.2900399999999,2067.6499,7486.0,549996162.29,21.48969,0.061970000000000004,160871.82,16087181.93,-16201663.01
2015-12-10,2016-04-11,2067.6499,2062.9299300000002,9295.0,539517930.77,17.661089999999998,7.727239999999999,164159.83,16415983.16,-9397673.41
2016-04-11,2016-08-10,2062.9299300000002,2183.4099100000003,8934.0,557324577.6,18.02263,3.8949,161014.18,16101417.64,-12782728.16
2016-08-10,2016-12-12,2183.4099100000003,2264.03003,7775.0,560939331.25,21.39516,0.53876,166347.37,16634736.9,-16382198.37
2016-12-12,2017-04-10,2264.03003,2366.37012,32962.0,568912075.75,5.07975,0.06856,167438.72,16743871.95,-16685323.2
2017-04-10,2017-08-10,2366.37012,2465.37988,84963.0,576245599.02,1.9987400000000002,0.15517,169818.95,16981894.66,-15833342.74
2017-08-10,2017-12-11,2465.37988,2660.33008,63006.0,603155117.87,2.7299599999999997,0.00484,172003.86,17200385.98,-17341894.93
2017-12-11,2018-02-06,2660.33008,2701.04004,159399.0,835850121.57,1.1295,15.02251,180041.17,18004117.05,221273148.93
2018-02-06,2018-06-11,2701.04004,2790.20996,10123.0,836397081.16,24.575110000000002,1.3912,248773.84,24877383.85,-23717845.93
2018-06-11,2018-10-10,2790.20996,2874.02002,28036.0,839882406.99,8.904810000000001,1.49817,249655.25,24965525.32,-21014911.15
2018-10-10,2018-12-06,2874.02002,2696.1499,30089.0,1033954039.14,8.33142,88.75724,250684.1,25068409.64,241742565.7
2018-12-06,2019-03-11,2696.1499,2784.0,11235.0,1032778439.72,27.398190000000003,0.01985,307818.66,30781866.46,-31067383.65
