Date,Equity1,num_stocks,price_stocks,stocks_value,options_value_calc,num_options,options_value_reported
1974-11-20,7735.06,104.0,69.25,7202.0,533.06,313.0,1.61123687829458
1974-11-21,7705.33,104.0,68.94,7169.76,535.57,313.0,1.6192554787873945
1974-11-22,7736.45,104.0,70.0,7280.0,456.45,313.0,1.366473133349114
1974-11-25,7690.56,104.0,69.68,7246.72,443.84,313.0,1.3261845181214458
1974-11-26,7723.83,104.0,70.36,7317.44,406.39,313.0,1.2065428630175283
1974-11-27,7777.37,104.0,71.31,7416.24,361.13,313.0,1.0619517884157545
1974-11-29,7710.14,104.0,70.49,7330.96,379.18,313.0,1.119606510535764
1974-12-02,7697.21,104.0,69.8,7259.2,438.01,313.0,1.3075784976734788
1974-12-03,7558.18,104.0,68.13,7085.52,472.66,313.0,1.4182707851432284
1974-12-04,7565.55,104.0,68.32,7105.28,460.27,313.0,1.3786803161683405
1974-12-05,7473.5,104.0,68.0,7072.0,401.5,313.0,1.1909404270604824
1974-12-06,7362.08,104.0,66.2,6884.8,477.28,313.0,1.4330312035593824
1974-12-09,7347.54,104.0,66.29,6894.16,453.38,313.0,1.3566616838719163
1974-12-10,7439.71,104.0,68.17,7089.68,350.03,313.0,1.0265010098898486
1974-12-11,7479.27,104.0,69.03,7179.12,300.15,313.0,0.86713614323142
1974-12-12,7444.77,104.0,68.61,7135.44,309.33,313.0,0.8964540316401965
1974-12-13,7411.39,104.0,68.15,7087.6,323.79,313.0,0.9426401489279836
1974-12-16,7374.24,104.0,67.74,7044.96,329.28,313.0,0.960177148427622
1974-12-17,7382.22,104.0,67.92,7063.68,318.54,313.0,0.9258633306602331
1974-12-18,7445.28,104.0,69.01,7177.04,268.24,313.0,0.7651643536608219
1974-12-19,7390.04,104.0,68.62,7136.48,253.56,313.0,0.7182620077102868
1974-12-20,7346.63,104.0,67.93,7064.72,281.91,313.0,0.8088506192163702
1974-12-23,7305.09,104.0,67.18,6986.72,318.37,313.0,0.9253212892175817
1974-12-24,7317.44,104.0,67.25,6994.0,323.44,313.0,0.9415255151044946
1974-12-26,7303.13,104.0,68.19,7091.76,211.37,313.0,0.5834883089168681
1974-12-27,7268.48,104.0,67.99,7070.96,197.52,313.0,0.5392218945849319
1974-12-30,7241.3,104.0,67.65,7035.6,205.7,313.0,0.5653604189987611
1974-12-31,7354.17,104.0,69.04,7180.16,174.01,313.0,0.4641151967504866
1975-01-02,7512.73,104.0,70.92,7375.68,137.05,313.0,0.34603175587845847
1975-01-03,7552.02,104.0,71.64,7450.56,101.46,313.0,0.2323179849029442
1975-01-06,7602.76,104.0,72.24,7512.96,89.8,313.0,0.1950807984524876
1975-01-07,7558.06,104.0,71.75,7462.0,96.06,313.0,0.2150741969309764
1975-01-08,7541.13,104.0,71.53,7439.12,102.01,313.0,0.23409195108899183
1975-01-09,7537.88,104.0,71.42,7427.68,110.2,313.0,0.2602522351046854
1975-01-10,7744.9,104.0,73.75,7670.0,74.9,313.0,0.14746823352356575
1975-01-13,7747.98,104.0,73.81,7676.24,71.74,313.0,0.13739199868649532
1975-01-14,7646.84,104.0,72.7,7560.8,86.04,313.0,0.18306291548719944
1975-01-15,7648.36,104.0,72.77,7568.08,80.28,313.0,0.1646755151982382
1975-01-16,7641.1,104.0,72.93,7584.72,56.38,313.0,0.08830707658327985
1975-01-17,7586.55,104.0,72.36,7525.44,61.11,313.0,0.10340929647246355
1975-01-20,7500.16,104.0,71.46,7431.84,68.32,313.0,0.12644607719465117
1975-01-21,7554.28,104.0,72.04,7492.16,62.12,313.0,0.10664780408494368
1975-01-22,7548.84,104.0,71.97,7484.88,63.96,313.0,0.11252805212696604
1975-01-23,7656.57,104.0,73.11,7603.44,53.13,313.0,0.07792590366255503
1975-01-24,7701.41,104.0,73.57,7651.28,50.13,313.0,0.06832657450091206
1975-01-27,7950.46,104.0,76.03,7907.12,43.34,313.0,0.04664017150988187
1975-01-28,8106.88,104.0,77.59,8069.36,37.52,313.0,0.028036915029906906
1975-01-29,8148.7,104.0,78.03,8115.12,33.58,313.0,0.015465793765897573
1975-01-30,8216.16,104.0,78.69,8183.76,32.4,313.0,0.011695927284209373
1975-01-31,8116.83,104.0,77.72,8082.88,33.95,313.0,0.016640155576657822
1975-02-03,8200.38,104.0,78.55,8169.2,31.18,313.0,0.00779274213366532
1975-02-04,8181.01,104.0,78.37,8150.48,30.53,313.0,0.005709584679984392
1975-02-05,8287.62,104.0,79.4,8257.6,30.02,313.0,0.00407598621547936
1975-02-06,8424.07,104.0,80.72,8394.88,29.19,313.0,0.001442480090073521
1975-02-07,8258.11,104.0,79.12,8228.48,29.63,313.0,0.0028537039462219888
1975-02-10,8287.0,104.0,79.4,8257.6,29.4,313.0,0.002098059278518874
1975-02-10,8241.0,101.0,79.4,8019.4,221.6,612.0,0.3652203212663636
1975-02-11,8212.69,101.0,79.07,7986.07,226.62,612.0,0.3734217427593194
1975-02-12,8289.24,101.0,80.21,8101.21,188.03,612.0,0.3103651217850061
1975-02-13,8461.43,101.0,82.53,8335.53,125.9,612.0,0.20883632849038403
1975-02-14,8447.65,101.0,82.33,8315.33,132.32,612.0,0.21933150706786897
1975-02-18,8460.29,101.0,82.45,8327.45,132.84,612.0,0.22018335042601134
1975-02-19,8401.67,101.0,81.94,8275.94,125.73,612.0,0.20856898031494442
1975-02-20,8448.01,101.0,82.78,8360.78,87.23,612.0,0.14566123286414356
1975-02-21,8510.77,101.0,83.56,8439.56,71.21,612.0,0.11947195310857439
1975-02-24,8454.85,101.0,82.71,8353.71,101.14,612.0,0.1683761524909695
1975-02-25,8373.55,101.0,81.09,8190.09,183.46,612.0,0.30288441157481927
1975-02-26,8356.04,101.0,80.89,8169.89,186.15,612.0,0.30729517056100075
1975-02-27,8392.53,101.0,81.64,8245.64,146.89,612.0,0.2431392045318157
1975-02-28,8398.95,101.0,82.02,8284.02,114.93,612.0,0.19091185461150806
1975-03-03,8526.14,101.0,83.46,8429.46,96.68,612.0,0.16108795609977689
1975-03-04,8697.06,101.0,85.43,8628.43,68.63,612.0,0.11526593246164762
1975-03-05,8632.43,101.0,84.71,8555.71,76.72,612.0,0.12848097918185286
1975-03-06,8572.05,101.0,84.17,8501.17,70.88,612.0,0.11894475577196006
1975-03-07,8652.64,101.0,85.14,8599.14,53.5,612.0,0.09054147160244863
1975-03-10,8673.14,101.0,85.47,8632.47,40.67,612.0,0.06957414713474241
1975-03-11,8714.14,101.0,85.89,8674.89,39.25,612.0,0.06726301164780879
1975-03-12,8607.2,101.0,84.73,8557.73,49.47,612.0,0.08394754706564922
1975-03-13,8564.29,101.0,84.26,8510.26,54.03,612.0,0.09139706213614707
1975-03-14,8672.27,101.0,85.43,8628.43,43.84,612.0,0.07475245380753748
1975-03-17,8765.26,101.0,86.52,8738.52,26.74,612.0,0.04681972947596669
1975-03-18,8823.57,101.0,87.08,8795.08,28.49,612.0,0.04967019595627442
1975-03-19,8646.71,101.0,85.17,8602.17,44.54,612.0,0.07589943803464538
1975-03-20,8660.47,101.0,85.3,8615.3,45.17,612.0,0.07693489215639904
1975-03-21,8552.99,101.0,84.11,8495.11,57.88,612.0,0.09770381990781196
1975-03-24,8433.42,101.0,82.39,8321.39,112.03,612.0,0.18617756214109704
1975-03-25,8411.14,101.0,82.67,8349.67,61.47,612.0,0.10355446818573055
1975-03-26,8560.49,101.0,84.24,8508.24,52.25,612.0,0.08848965206279136
1975-03-27,8612.28,101.0,84.88,8572.88,39.4,612.0,0.06749409381860283
1975-03-31,8580.81,101.0,84.62,8546.62,34.19,612.0,0.058987659101692236
1975-04-01,8485.78,101.0,83.59,8442.59,43.19,612.0,0.07369523687100243
1975-04-02,8479.53,101.0,83.57,8440.57,38.96,612.0,0.06677531767093714
1975-04-03,8416.4,101.0,82.84,8366.84,49.56,612.0,0.08410017518056678
1975-04-04,8323.54,101.0,81.9,8271.9,51.64,612.0,0.08750148876167763
1975-04-07,8250.83,101.0,81.11,8192.11,58.72,612.0,0.09906789722292486
1975-04-08,8302.31,101.0,81.65,8246.65,55.66,612.0,0.09406173245689775
1975-04-09,8460.69,101.0,83.22,8405.22,55.47,612.0,0.09376267355301438
1975-04-10,8598.32,101.0,84.7,8554.7,43.62,612.0,0.07439207359917077
1975-04-11,8589.51,101.0,84.68,8552.68,36.83,612.0,0.06329907587976225
1975-04-14,8726.87,101.0,86.12,8698.12,28.75,612.0,0.050092330661638984
1975-04-15,8834.05,101.0,87.24,8811.24,22.81,612.0,0.04039563708794758
1975-04-16,8819.2,101.0,87.1,8797.1,22.1,612.0,0.03923098194776975
